Country;Jury member;Full name;Gender;Age;Profession;Biography
Albania;A;Edison Misso;Male;63;Professor of classic guitar at the University of Arts Tirana;Established for the first time branch of classic guitar in artistic lyceum of Tirana. Author of 3 books for guitar.  Released a CD ?Classic guitar? where parts of Bach, Korsakov, Mozart, Ravel, Vivaldi, Zadeja, Harapi played by 15 ? 20 guitars. Gave
Albania;B;Agim Doci;Male;68;Author, lyrics writer;Lyrics writer of many songs. Lyric?s writer of first Albanian entry in ESC 2004 ?The image of you?. Script writer of many documentaries. Worked as a journalist and PR for many years. Well known poet in Albania. Member of the League of Writers and Ar
Albania;C;Flamur Shehu;Male;69;Composer;"Composer of more than 400 songs, working since 1966. Winner of many prizes in children, young voices and adult festivals and song contests. Former secretary general of CIOFF. Winner of Gold Medal ""Naim Frasheri"" 2007 and ""Grand Master"" awarded from Presid"
Albania;D;Kejsi Tola;Female;24;Singer;Studied at artistic lyceum and University of Arts Tirana. Participant and winner in children song festivals in Tirana and Shkodra. Participant and winner of FiK in 2008, representing Albania in ESC 2009. Participant and winner of prices in Magic Song and 
Albania;E;Nisida Tufa;Female;33;Journalist / speaker / moderator;Journalist, speaker, moderator at News 24 since 2002. Worked as journalist in newspaper Gazeta Shqiptare and Bluetooth, covering art and culture. Studied for literature at philological faculty of State University of Tirana. Speaks fluently English and Ita
Australia;A;Monica Trapaga;Female;50;Singer / Songwriter;Monica Trapaga is an accomplished entertainer, performing and writing children?s tunes for her own videos and CDs, presenting and singing on Play School and Playhouse Disney, right through to singing Rockabilly, Contemporary and Jazz with all sized band
Australia;B;James Mathison;Male;38;Presenter / Broadcaster;James Mathison shot to fame on television as the co-host of Australia Idol in 2003. He has hosted the ARIA awards, Australia Day Live Concerts and countless hours of live TV.  James presents radio on Nova?s Summer breakfast and appears as a regular gues
Australia;C;Shannon Noll;Male;40;Singer / Songwriter;Shannon Noll rose to fame as the first runner-up of the Australian Idol series in 2003. He has achieved certified triple-platinum sales, number #1 hits and 5 top 10 albums. He is the only Australian male artist in national chart history to have 10 consecu
Australia;D;Craig Porteils;Male;53;Music Producer;Craig Porteils is a successful music producer and composer, having recorded with hi-profile artists like Guns n Roses and Cher. In 2009 Craig composed a song for Greek superstar Sakis Rouvos for The Eurovision Song Contest. Craig is currently recording tr
Australia;E;Myf Warhurst;Female;41;Radio Broadcaster and Television Personality;Myf Warhurst is an Australian broadcaster and television personality, best known for her work at ABC?s Double J, Triple J radio and on ABC Television?s music-themed quiz show Spicks & Specks. She?s made her own television series Nice and is a column
