Eurovision Song Contest 2016 Second Semi-Final;;;;;;;;;;
From country;To country;Jury A;Jury B;Jury C;Jury D;Jury E;Jury Rank;Televote Rank;Jury Points;Televote Points
Albania;Latvia;9;10;9;10;10;10;12;1;"
"
Albania;Poland;7;9;10;8;9;9;15;2;"
"
Albania;Switzerland;14;11;12;11;12;11;8;"
";3
Albania;Israel;8;7;6;5;7;7;11;4;"
"
Albania;Belarus;15;17;11;16;13;14;16;"
";"
"
Albania;Serbia;1;4;2;4;3;3;14;8;"
"
Albania;Ireland;11;15;16;17;14;15;13;"
";"
"
Albania;F.Y.R. Macedonia;2;2;3;2;1;1;1;12;12
Albania;Lithuania;17;12;17;12;15;16;7;"
";4
Albania;Australia;3;3;1;1;2;2;5;10;6
Albania;Slovenia;4;5;4;7;6;5;10;6;1
Albania;Bulgaria;5;1;5;3;4;4;4;7;7
Albania;Denmark;10;6;8;9;8;8;9;3;2
Albania;Ukraine;6;8;7;6;5;6;6;5;5
Albania;Norway;13;14;13;15;11;12;2;"
";10
Albania;Georgia;12;13;15;14;16;13;17;"
";"
"
Albania;Belgium;16;16;14;13;17;17;3;"
";8
Australia;Latvia;7;8;15;12;10;11;6;"
";5
Australia;Poland;10;16;17;17;14;17;11;"
";"
"
Australia;Switzerland;11;11;9;9;9;10;16;1;"
"
Australia;Israel;2;3;3;2;2;2;5;10;6
Australia;Belarus;4;5;12;3;12;5;12;6;"
"
Australia;Serbia;8;12;5;11;7;8;9;3;2
Australia;Ireland;9;14;16;15;17;16;4;"
";7
Australia;F.Y.R. Macedonia;13;2;14;16;4;9;7;2;4
Australia;Lithuania;5;4;4;6;6;4;3;7;8
Australia;Slovenia;6;9;7;5;15;7;15;4;"
"
Australia;Bulgaria;3;6;6;4;3;3;2;8;10
Australia;Denmark;12;15;10;13;11;13;10;"
";1
Australia;Ukraine;14;10;11;10;8;12;8;"
";3
Australia;Norway;16;7;1;8;5;6;13;5;"
"
Australia;Georgia;17;17;13;7;16;15;14;"
";"
"
Australia;Albania;15;13;8;14;13;14;17;"
";"
"
